date,anlage,kurs
2022-10-03,MSCI,69.16200256347656
2022-10-04,MSCI,70.6760025024414
2022-10-05,MSCI,70.55000305175781
2022-10-06,MSCI,71.08399963378906
2022-10-07,MSCI,69.68000030517578
2022-10-08,MSCI,69.68000030517578
2022-10-09,MSCI,69.68000030517578
2022-10-10,MSCI,69.27999877929688
2022-10-11,MSCI,68.87999725341797
2022-10-12,MSCI,68.63400268554688
2022-10-13,MSCI,68.76599884033203
2022-10-14,MSCI,68.89199829101562
2022-10-15,MSCI,68.89199829101562
2022-10-16,MSCI,68.89199829101562
2022-10-17,MSCI,69.59200286865234
2022-10-18,MSCI,69.71600341796875
2022-10-19,MSCI,69.95600128173828
2022-10-20,MSCI,70.12999725341797
2022-10-21,MSCI,69.78600311279297
2022-10-22,MSCI,69.78600311279297
2022-10-23,MSCI,69.78600311279297
2022-10-24,MSCI,70.59200286865234
2022-10-25,MSCI,71.31400299072266
2022-10-26,MSCI,71.4280014038086
2022-10-27,MSCI,71.25599670410156
2022-10-28,MSCI,71.78800201416016
2022-10-29,MSCI,71.78800201416016
2022-10-30,MSCI,71.78800201416016
2022-10-31,MSCI,72.4020004272461
2022-11-01,MSCI,72.41799926757812
2022-11-02,MSCI,71.98999786376953
2022-11-03,MSCI,71.18199920654297
2022-11-04,MSCI,70.52799987792969
2022-11-05,MSCI,70.52799987792969
2022-11-06,MSCI,70.52799987792969
2022-11-07,MSCI,70.91200256347656
2022-11-08,MSCI,71.61000061035156
2022-11-09,MSCI,70.79000091552734
2022-11-10,MSCI,72.46600341796875
2022-11-11,MSCI,72.2020034790039
2022-11-12,MSCI,72.2020034790039
2022-11-13,MSCI,72.2020034790039
2022-11-14,MSCI,72.5260009765625
2022-11-15,MSCI,72.87000274658203
2022-11-16,MSCI,71.90399932861328
2022-11-17,MSCI,71.55599975585938
2022-11-18,MSCI,72.08799743652344
2022-11-19,MSCI,72.08799743652344
2022-11-20,MSCI,72.08799743652344
2022-11-21,MSCI,72.34400177001953
2022-11-22,MSCI,72.81600189208984
2022-11-23,MSCI,73.09200286865234
2022-11-24,MSCI,73.20999908447266
2022-11-25,MSCI,73.1259994506836
2022-11-26,MSCI,73.1259994506836
2022-11-27,MSCI,73.1259994506836
2022-11-28,MSCI,72.5780029296875
2022-11-29,MSCI,72.1259994506836
2022-11-30,MSCI,72.62000274658203
2022-12-01,MSCI,73.36799621582031
2022-12-02,MSCI,72.99800109863281
2022-12-03,MSCI,72.99800109863281
2022-12-04,MSCI,72.99800109863281
2022-12-05,MSCI,72.36599731445312
2022-12-06,MSCI,71.39800262451172
2022-12-07,MSCI,71.00800323486328
2022-12-08,MSCI,71.11799621582031
2022-12-09,MSCI,71.48600006103516
2022-12-10,MSCI,71.48600006103516
2022-12-11,MSCI,71.48600006103516
2022-12-12,MSCI,71.17400360107422
2022-12-13,MSCI,72.23400115966797
2022-12-14,MSCI,72.02999877929688
2022-12-15,MSCI,69.56199645996094
2022-12-16,MSCI,68.97799682617188
2022-12-17,MSCI,68.97799682617188
2022-12-18,MSCI,68.97799682617188
2022-12-19,MSCI,68.68800354003906
2022-12-20,MSCI,68.49800109863281
2022-12-21,MSCI,69.7239990234375
2022-12-22,MSCI,68.69599914550781
2022-12-23,MSCI,68.85399627685547
2022-12-24,MSCI,68.85399627685547
2022-12-25,MSCI,68.85399627685547
2022-12-26,MSCI,68.85399627685547
2022-12-27,MSCI,68.8219985961914
2022-12-28,MSCI,68.45600128173828
2022-12-29,MSCI,68.98200225830078
2022-12-30,MSCI,68.47799682617188
2022-12-31,MSCI,68.47799682617188
2023-01-01,MSCI,68.47799682617188
2023-01-02,MSCI,69.85800170898438
2023-01-03,MSCI,69.15799713134766
2023-01-04,MSCI,69.85399627685547
2023-01-05,MSCI,69.4020004272461
2023-01-06,MSCI,70.06199645996094
2023-01-07,MSCI,70.06199645996094
2023-01-08,MSCI,70.06199645996094
2023-01-09,MSCI,70.48200225830078
2023-01-10,MSCI,69.6760025024414
2023-01-11,MSCI,70.3280029296875
2023-01-12,MSCI,70.55999755859375
2023-01-13,MSCI,70.81600189208984
2023-01-14,MSCI,70.81600189208984
2023-01-15,MSCI,70.81600189208984
2023-01-16,MSCI,71.10399627685547
2023-01-17,MSCI,71.36799621582031
2023-01-18,MSCI,70.90399932861328
2023-01-19,MSCI,69.88200378417969
2023-01-20,MSCI,70.36000061035156
2023-01-21,MSCI,70.36000061035156
2023-01-22,MSCI,70.36000061035156
2023-01-23,MSCI,71.4280014038086
2023-01-24,MSCI,71.30599975585938
2023-01-25,MSCI,70.74400329589844
2023-01-26,MSCI,71.56800079345703
2023-01-27,MSCI,72.20999908447266
2023-01-28,MSCI,72.20999908447266
2023-01-29,MSCI,72.20999908447266
2023-01-30,MSCI,71.86000061035156
2023-01-31,MSCI,71.81800079345703
2023-02-01,MSCI,71.75399780273438
2023-02-02,MSCI,73.45600128173828
2023-02-03,MSCI,73.85600280761719
2023-02-04,MSCI,73.85600280761719
2023-02-05,MSCI,73.85600280761719
2023-02-06,MSCI,73.45600128173828
2023-02-07,MSCI,73.62799835205078
2023-02-08,MSCI,73.52799987792969
2023-02-09,MSCI,73.60199737548828
2023-02-10,MSCI,73.28800201416016
2023-02-11,MSCI,73.28800201416016
2023-02-12,MSCI,73.28800201416016
2023-02-13,MSCI,73.74800109863281
2023-02-14,MSCI,73.45800018310547
2023-02-15,MSCI,74.0739974975586
2023-02-16,MSCI,73.9540023803711
2023-02-17,MSCI,73.13200378417969
2023-02-18,MSCI,73.13200378417969
2023-02-19,MSCI,73.13200378417969
2023-02-20,MSCI,73.24199676513672
2023-02-21,MSCI,72.55799865722656
2023-02-22,MSCI,72.5199966430664
2023-02-23,MSCI,72.4520034790039
2023-02-24,MSCI,72.11000061035156
2023-02-25,MSCI,72.11000061035156
2023-02-26,MSCI,72.11000061035156
2023-02-27,MSCI,72.51000213623047
2023-02-28,MSCI,72.24400329589844
2023-03-01,MSCI,71.52400207519531
2023-03-02,MSCI,71.8479995727539
2023-03-03,MSCI,73.02999877929688
2023-03-04,MSCI,73.02999877929688
2023-03-05,MSCI,73.02999877929688
2023-03-06,MSCI,73.3479995727539
2023-03-07,MSCI,72.8759994506836
2023-03-08,MSCI,72.75399780273438
2023-03-09,MSCI,72.7760009765625
2023-03-10,MSCI,71.22000122070312
2023-03-11,MSCI,71.22000122070312
2023-03-12,MSCI,71.22000122070312
2023-03-13,MSCI,69.5719985961914
2023-03-14,MSCI,70.56400299072266
2023-03-15,MSCI,69.9020004272461
2023-03-16,MSCI,70.87000274658203
2023-03-17,MSCI,70.3280029296875
2023-03-18,MSCI,70.3280029296875
2023-03-19,MSCI,70.3280029296875
2023-03-20,MSCI,70.36399841308594
2023-03-21,MSCI,70.91200256347656
2023-03-22,MSCI,71.0479965209961
2023-03-23,MSCI,70.45600128173828
2023-03-24,MSCI,70.26599884033203
2023-03-25,MSCI,70.26599884033203
2023-03-26,MSCI,70.26599884033203
2023-03-27,MSCI,70.85399627685547
2023-03-28,MSCI,70.50599670410156
2023-03-29,MSCI,71.2020034790039
2023-03-30,MSCI,71.56199645996094
2023-03-31,MSCI,72.37799835205078
2023-04-01,MSCI,72.37799835205078
2023-04-02,MSCI,72.37799835205078
2023-04-03,MSCI,72.54399871826172
2023-04-04,MSCI,72.13800048828125
2023-04-05,MSCI,71.99199676513672
